"Title","Author Names","Source title","Publication Year","Publication Type","ISSN","Abstract","Author Keywords","Article Language","Embase Accession ID","Medline PMID","DOI"
"Delays in breast cancer diagnosis and treatment by racial/ethnic group","Gorin S.S., Heck J.E., Cheng B., Smith S.J.","Archives of Internal Medicine","2006","Article","0003-9926,1538-3679 (electronic)","Background: Although white women have the highest incidence of breast cancer, African American, followed by Hispanic, American Indian/Alaskan Native, and Asian American or Pacific Islander, women have higher death rates from the disease. Timely initiation of treatment has been shown to improve survival, and may help to lessen the mortality differences among racial/ethnic groups. Methods: The purpose of this study was to describe time delays in the initial diagnosis and treatment of primary breast carcinoma across diverse ethnic/racial groups. Data are from the Surveillance, Epidemiology, and End Results - Medicare database. Women in this study were diagnosed as having breast cancer between January 1, 1992, and December 31, 1999. Billing claims from outpatient and inpatient visits were used. A total of 49 865 female Medicare recipients 65 years and older were enrolled in the study. Racial/ethnic groups were compared in their diagnostic, treatment, and clinical delay (ie, women with a diagnostic and treatment delay). Results: African American women experienced the greatest diagnostic, treatment, and clinical delay. After controlling for other predictors, compared with white women, African American women had a 1.39-fold odds (95% confidence interval, 1.18-1.63) of diagnostic delay beyond 2 months, a 1.64-fold odds (95% confidence interval, 1.40-1.91) of treatment delay beyond 1 month, and a 2.24-fold odds (95% confidence interval, 1.75-2.86) of having a combined clinical delay. Conclusions: In a population-based study, African American women experienced the most delays in initial diagnosis and initiation of breast cancer treatment, relative to women of other racial/ethnic subgroups. Despite the limitations of a claims database, the magnitude and direction of the findings are consistent across the research, suggesting the critical importance of reducing these delays. ©2006 American Medical Association. All rights reserved.",,"English",2006560717,17101943,10.1001/archinte.166.20.2244
"Solar ultraviolet-B exposure and cancer incidence and mortality in the United States, 1993-2002","Boscoe F.P., Schymura M.J.","BMC Cancer","2006","Article","1471-2407,1471-2407 (electronic)","Background: An inverse relationship between solar ultraviolet-B (UV-B) exposure and non-skin cancer mortality has long been reported. Vitamin D, acquired primarily through exposure to the sun via the skin, is believed to inhibit tumor development and growth and reduce mortality for certain cancers. Methods: We extend the analysis of this relationship to include cancer incidence as well as mortality, using higher quality and higher resolution data sets than have typically been available. Over three million incident cancer cases between 1998 and 2002 and three million cancer deaths between 1993 and 2002 in the continental United States were regressed against daily satellite-measured solar UV-B levels, adjusting for numerous confounders. Relative risks of reduced solar UV-B exposure were calculated for thirty-two different cancer sites. Results: For non-Hispanic whites, an inverse relationship between solar UV-B exposure and cancer incidence and mortality was observed for ten sites: bladder, colon, Hodgkin lymphoma, myeloma, other biliary, prostate, rectum, stomach, uterus, and vulva. Weaker evidence of an inverse relationship was observed for six sites: breast, kidney, leukemia, non-Hodgkin lymphoma, pancreas, and small intestine. For three sites, inverse relationships were seen that varied markedly by sex: esophagus (stronger in males than females), gallbladder (stronger in females than males), and thyroid (only seen in females). No association was found for bone and joint, brain, larynx, liver, nasal cavity, ovary, soft tissue, male thyroid, and miscellaneous cancers. A positive association between solar UV-B exposure and cancer mortality and incidence was found for anus, cervix, oral cavity, melanoma, and other non-epithelial skin cancer. Conclusion: This paper adds to the mounting evidence for the influential role of solar UV-B exposure on cancer, particularly for some of the less-well studied digestive cancers. The relative risks for cancer incidence are similar to those for cancer mortality for most sites. For several sites (breast, colon, rectum, esophagus, other biliary, vulva), the relative risks of mortality are higher, possibly suggesting that the maintenance of adequate vitamin D levels is more critical for limiting tumor progression than for preventing tumor onset. Our findings are generally consistent with the published literature, and include three cancer sites not previously linked with solar UV-B exposure, to our knowledge: leukemia, small intestine, and vulva. © 2006 Boscoe and Schymura; licensee BioMed Central Ltd.",,"English",2006590092,17096841,10.1186/1471-2407-6-264
"Effects of parity on pregnancy hormonal profiles across ethnic groups with a diverse incidence of breast cancer","Arslan A.A., Zeleniuch-Jacquotte A., Lukanova A., Afanasyeva Y., Katz J., Levitz M., Del Priore G., Toniolo P.","Cancer Epidemiology Biomarkers and Prevention","2006","Article","1055-9965","Epidemiologic evidence suggests that a full-term pregnancy may affect maternal risk of breast cancer later in life. The objective of this cross-sectional study was to compare circulating levels of maternal hormones affecting breast differentiation (human chorionic gonadotropin and prolactin) and proliferation [α-fetoprotein, insulin-like growth factor I (IGF-I), and estradiol] between women at a low to moderate risk (Asians and Hispanics), as compared with women at a high risk for breast cancer (Caucasians and African-Americans). Between May 2002 and December 2004, a total of 586 pregnant women were approached during a routine prenatal visit. Among them, 450 women (206 Caucasian, 126 Asian, 88 Hispanic, and 30 African-American) met the inclusion criteria and signed the informed consent. Only singleton pregnancies were considered. Blood samples were drawn during the second trimester of pregnancy. Laboratory analyses were done using the IMMULITE 2000 immunoassay system. Gestational age standardized mean levels of estradiol, IGF-I, and prolactin were significantly higher in Hispanic women compared with Caucasian women. Mean concentration of IGF-I was significantly higher in African-American women compared with Caucasian and Asian women. No significant differences in pregnancy hormone levels were observed between Caucasian and Asian (predominantly second-generation Chinese) women in this study. Irrespective of ethnicity, women who had their first pregnancy had substantially higher mean levels of α-fetoprotein, human chorionic gonadotropin, estradiol, and prolactin compared with women who previously had at least one full-term pregnancy. These data suggest that circulating pregnancy hormone levels may explain some of the ethnic differences in breast cancer risk. Copyright © 2006 American Association for Cancer Research.",,"English",2006599832,17119037,10.1158/1055-9965.EPI-06-0470
"New York city's Immigrant Minorities: Reducing cancer health disparities","Gany F.M., Shah S.M., Changrani J.","Cancer","2006","Article","0008-543X,1097-0142 (electronic)","One million newcomers arrive in the United States every year; 11.7% of the total U.S. population is foreign-born. Immigrants face cancer care and research access barriers, including economic, immigration status, cultural, and linguistic. In 2000, the Center for Immigrant Health, NYU School of Medicine, launched the Cancer Awareness Network for Immigrant Minority Populations (CANIMP), a network comprising community- and faith-based organizations, local and national government health institutions, clinical service providers, researchers, and immigrant-service and advocacy organizations. This community-based participatory program chose as its priorities high- incidence cancer sites in the overall immigrant community (colorectal, lung, breast, cervical, prostate), as well as sites with strikingly high incidence in specific immigrant groups (gastric, liver, oral). CANIMP has developed successful outreach, education, screening, survivorship, training, and research programs to decrease cancer disparities. Over 2500 at-risk community members have been reached, 25 junior minority researchers trained, 60 minority interns mentored, numerous cancer disparities research projects funded and conducted, and vital partnerships to improve cancer data developed. These initiatives serve as models to address community, systems, physician, and cancer research gaps in immigrant communities. © 2006 American Cancer Society.","Access to health care,Cancer,Community health networks,Community participation,Culture,Ethnicity,Immigration,Minority groups,Research,Training,Urban population","English",2006506506,16983657,10.1002/cncr.22155
"Breast self-examination among Chinese immigrant women","Wong-Kim E., Wang C.C.","Health Education and Behavior","2006","Article","1090-1981,1552-6127 (electronic)","The incidence of breast cancer is rising rapidly among the fast-growing demographic group of Asian American and Pacific Islanders (AAPIs). In this study, the authors assessed the awareness of breast self-exam (BSE) and factors predicting practice of BSE among Chinese immigrant women living in San Francisco. Three hundred and ninety-seven women participated in a telephone survey; 80.9% reported having heard of BSE but only 53.9% reported practice of BSE during the past year. Logistic regression modeling found that increased length of stay in the United States, higher income, socializing with more Chinese than non-Chinese, and a birthplace other than U.S. and Chinese communities predicted BSE practice. The findings indicate that although familiarity with BSE is high among this group of Chinese immigrant women, self-reported actual practice is far from optimal. This study points to the need for culturally appropriate interventions that will encourage and motivate immigrant Chinese women to practice BSE on a monthly basis. © 2006 by SOPHE.","Breast self-examination,Chinese,Cultural competence,Culture,Health education,Immigrant women,Low-income","English",,16923834,10.1177/1090198106290800
"Assessing the impact of screening mammography: Breast cancer incidence and mortality rates in Connecticut (1943-2002)","Anderson W.F., Jatoi I., Devesa S.S.","Breast Cancer Research and Treatment","2006","Article","0167-6806","Background: Randomized controlled studies demonstrate that early detection and intervention reduce breast cancer mortality by approximately 25%. Though the ultimate goal of screening is to reduce breast cancer deaths, the immediate goal is to detect and treat early-stage tumors before they pose a threat to life. Materials and methods: To assess the impact of early detection and intervention in the general population, we analyzed breast cancer incidence and mortality rates in the NCI's Historical Connecticut Tumor Registry (1943-2002). Results: Though breast cancer rates increased for the entire study period, overall incidence rates rose faster than previously following the initiation of mammography screening in the early 1980s in the United States. Of note, stage-specific incidence rates increased 152% (53.2-133.9 per 100,000 woman-years) for early-stage tumors and fell 16% (56.1-47.2 per 100,000 woman-years) for late-stage breast cancers. Period- and cohort-age-specific incidence rates rose dramatically for early-stage tumors among women targeted for screening (ages 40-80 years), whereas rates for regional and distant stages declined modestly among women ages >50 years. Breast cancer mortality rates fell 31.6%. Conclusions: Along with increases in incidence rates for early-stage tumors, rates for late-stage disease and breast cancer mortality declined following widespread screening mammography, consistent with effective early detection and improved treatment over time. However, the disparity between the dramatic rise in early-stage tumors compared to the more modest declines in late-stage disease and mortality suggests that many mammography-derived early-stage lesions may never progress to late-stage cancers and pose a threat to life. © Springer Science+Business Media B.V. 2006.","Birth cohort effects,Breast cancer incidence,Breast cancer mortality,Calendar-period effects,Lead time bias,Length bias,Prognostic factors","English",2006432178,16703451,10.1007/s10549-006-9214-z
"Paget disease of the breast: Changing patterns of incidence, clinical presentation, and treatment in the U.S.","Chen C.-Y., Sun L.-M., Anderson B.O.","Cancer","2006","Article","0008-543X,1097-0142 (electronic)","BACKGROUND. Paget disease is an uncommon presentation of breast cancer that increased in incidence in the U.S. between 1973 and 1987. Characterized by malignant crusting or ulceration of the nipple, Paget disease can present in 1 of 3 ways: 1) in conjunction with an underlying invasive cancer, 2) in conjunction with underlying ductal carcinoma in situ (DCIS), or 3) alone without any underlying invasive breast carcinoma or DCIS. Paget disease can be treated with breast conservation by undergoing central lumpectomy. The objective of this study was to determine how the incidence, presentation, biomarkers, operative approach, and outcome of Paget disease have evolved in the U.S. since 1988. METHODS. Between 1988 and 2002, 1738 women who were diagnosed with Paget disease were reported in the 9 registries of the Surveillance, Epidemiology, and End Results Program. To the authors' knowledge, the current study on tumor characteristics, surgical intervention, and survival represented the largest series of Paget disease ever reported. RESULTS. Although the overall incidence of breast cancer increased between 1988 and 2002, the incidence of Paget disease concomitantly decreased by 45% (95% confidence interval, from -35% to -53%). This decreasing incidence was greatest for Paget disease associated with invasive cancer or DCIS. Invasive cancer associated with Paget disease more commonly was estrogen receptor negative, progesterone receptor negative, and of high histologic grade. Even when 60%) of the disease was located centrally, only 293 of 1642 patients with Paget disease (18%) who were treated surgically underwent central lumpectomy. Patients with Paget disease who underwent breast conservation had outcomes equivalent to the outcomes among patients who underwent mastectomy. CONCLUSIONS. The incidence of Paget disease associated with underlying invasive cancer or DCIS decreased since 1988. Patients who underwent central lumpectomy and patients who underwent mastectomy for Paget disease had similar outcomes; nonetheless, most patients who were candidates for preservation underwent mastectomy. © 2006 American Cancer Society.","Breast cancer,Breast surgery,Incidence,Lumpectomy,Paget disease,Partial mastectomy","English",2006500625,16933329,10.1002/cncr.22137
"Racial/ethnic differences in postmenopausal endogenous hormones: The Multiethnic Cohort Study","Setiawan V.W., Haiman C.A., Stanczyk F.Z., Le Marchand L., Henderson B.E.","Cancer Epidemiology Biomarkers and Prevention","2006","Article","1055-9965","Postmenopausal women with increased estrogens and lowered sex hormone-binding globulin (SHBG) concentrations are at increased risk of breast cancer. In the Multiethnic Cohort Study, the highest incidence rates of postmenopausal breast cancer were observed among Native Hawaiians followed by Japanese Americans, Whites, African Americans, and Latinas. Ethnic differences in endogenous sex hormone profiles may contribute to some of the variation in breast cancer incidence. Plasma concentrations of androstenedione, testosterone, estrone (E(1)), estradiol (E(2)), and SHBG were measured in 739 postmenopausal women from the Multiethnic Cohort Study (240 African Americans, 81 Native Hawaiians, 96 Japanese Americans, 231 Latinas, and 91 Whites). After adjusting for age, known breast cancer risk factors and lifestyle factors, the mean levels of testosterone, estrogen, and SHBG varied across populations (Ps ≤ 0.004). Across racial/ethnic groups, Native Hawaiians had the highest mean levels of androstenedione, testosterone, and estrogens and the lowest mean levels of SHBG. Compared with Whites, Native Hawaiians had higher androstenedione (+22%, P = 0.017), total testosterone (+26%, P = 0.013), bioavailable testosterone (+33%, P = 0.002), E(1) (≥21%; P = 0.009), total E(2) (+26%, P = 0.001), bioavailable E(2) (+31%, P < 0.001), and lower SHBG (-12% P = 0.07) levels. Compared with Whites, Japanese Americans had higher E2 (+15%, P = 0.036) and bioavailable E(2) (+18%, P = 0.024) levels. African Americans also had higher E(1) (+21%, P = 0.004), E(2) (+20%, P = 0.007), and bioavailable E(2) (+20%, P = 0.015) levels compared with Whites, whereas mean levels in Latinas were similar to those of Whites. Many of the differences in endogenous postmenopausal hormonal milieu across these five racial/ethnic groups are consistent with the known differences in breast cancer incidence across these populations. Copyright © 2006 American Association for Cancer Research.",,"English",2006534324,17035391,10.1158/1055-9965.EPI-06-0307
"Comparison of age distribution patterns for different histopathologic types of breast carcinoma","Anderson W.F., Pfeiffer R.M., Dores G.M., Sherman M.E.","Cancer Epidemiology Biomarkers and Prevention","2006","Article","1055-9965","Background: Historically, female breast carcinoma has been viewed as an etiologically homogeneous disease associated with rapidly increasing incidence rates until age 50 years, followed by a slower rate of increase among older women. More recent studies, however, have shown distinct age incidence patterns for female breast cancer when stratified by estrogen receptor (ER) expression and/ or histopathologic subtypes, suggesting etiologic heterogeneity. Materials and Methods: To determine if different age incidence patterns reflect etiologic heterogeneity (more than one breast cancer type within the general breast carcinoma), we applied ""smoothed"" age histograms at diagnosis (density plots) and a two-component statistical mixture model to all breast carcinoma cases (n = 270,124) in the Surveillance, Epidemiology, and End Results Program of the National Cancer Institute. These overall patterns were then reevaluated according to histopathologic type, race, and ER expression. Results: A bimodal age distribution at diagnosis provided a better fit to the data than a single density for all breast carcinoma populations, except for medullary carcinoma. Medullary carcinomas showed a single age distribution at diagnosis irrespective of race and/or ER expression. Conclusions: Distinct age-specific incidence patterns reflected bimodal breast cancer populations for breast carcinoma overall as well as for histopathologic subtypes, race, and ER expression. The one exception was medullary carcinoma. Of note, medullary carcinomas are rare tumors, which are associated with germ-line mutations in the BRCA1 gene. These descriptive and model-based results support emerging molecular data, suggesting two main types of breast carcinoma in the overall breast cancer population. Copyright © 2006 American Association for Cancer Research.",,"English",2006534331,17035397,10.1158/1055-9965.EPI-06-0191
"Primary prevention of cardiovascular disease with pravastatin in Japan (MEGA Study): a prospective randomised controlled trial","Nakamura H., Arakawa K., Itakura H., Kitabatake A., Goto Y., Toyota T., Nakaya N., Nishimoto S., Muranaka M., Yamamoto A., Mizuno K., Ohashi Y.","Lancet","2006","Article","0140-6736","Background: Evidence-based treatment for hypercholesterolaemia in Japan has been hindered by the lack of direct evidence in this population. Our aim was to assess whether evidence for treatment with statins derived from western populations can be extrapolated to the Japanese population. Methods: In this prospective, randomised, open-labelled, blinded study, patients with hypercholesterolaemia (total cholesterol 5·69-6·98 mmol/L) and no history of coronary heart disease or stroke were randomly assigned diet or diet plus 10-20 mg pravastatin daily. The primary endpoint was the first occurrence of coronary heart disease. Statistical analyses were done by intention to treat. This trial is registered at ClinicalTrials.gov, number NCT00211705. Findings: 3966 patients were randomly assigned to the diet group and 3866 to the diet plus pravastatin group. Mean follow-up was 5·3 years. At the end of study, 471 and 522 patients had withdrawn, died, or been lost to follow-up in the diet and diet plus pravastatin groups, respectively. Mean total cholesterol was reduced by 2·1% (from 6·27 mmol/L to 6·13 mmol/L) and 11·5% (from 6·27 mmol/L to 5·55 mmol/L) and mean LDL cholesterol by 3·2% (from 4·05 mmol/L to 3·90 mmol/L) and 18·0% (from 4·05 mmol/L to 3·31 mmol/L) in the diet and the diet plus pravastatin groups, respectively. Coronary heart disease was significantly lower in the diet plus pravastatin group than in the diet alone group (66 events vs 101 events; HR 0·67, 95% CI 0·49-0·91; p=0·01). There was no difference in the incidence of malignant neoplasms or other serious adverse events between the two groups. Interpretation: Treatment with a low dose of pravastatin reduces the risk of coronary heart disease in Japan by much the same amount as higher doses have shown in Europe and the USA. © 2006 Elsevier Ltd. All rights reserved.",,"English",,17011942,10.1016/S0140-6736(06)69472-5
"Breast cancer trends among young women in the United States","Tarone R.E.","Epidemiology","2006","Article","1044-3983","BACKGROUND: It has been suggested that exposures associated with industrialization have increased breast cancer risk among young women in recent decades in the United States despite data demonstrating declining breast cancer mortality in birth cohorts born after 1945. METHODS: Trends for in situ and invasive breast cancer incidence rates from 1975 through 2002 among white and black U.S. women ages 20 to 49 are evaluated by decade of age using linear regression analyses. RESULTS: Despite increasing rates of in situ breast cancer after 1980 reflecting increased use of mammography, invasive breast cancer rates declined for both white and black women under age 50. These declines are consistent with a decrease in birth cohort risk of breast cancer for women born after 1945. CONCLUSIONS: Invasive breast cancer incidence rates are not increasing in young U.S. women despite increases in mammography and trends in known risk factors (eg, reproductive factors) that would predict increasing risk. Copyright © 2006 by Lippincott Williams & Wilkins.",,"English",2006389666,16804474,10.1097/01.ede.0000229195.98786.ee
"Chronological changes of clinical characteristics in 31,115 new breast cancer patients among Koreans during 1996-2004","Ahn S.H., Yoo K.Y.","Breast Cancer Research and Treatment","2006","Article","0167-6806","Breast cancer has emerged as the most frequent malignancy among Korean women. Its clinical features have become closer to those now observed in Western countries. We performed this study to evaluate the chronological changes in Korean breast cancer characteristics and reproductive factors from 1996 to 2004. A nationwide multi-center survey within the Korean Breast Cancer Society (KBCS) has been performed since 1996. We analyzed the chronological changes among newly diagnosed primary breast cancer patients recruited at 41 university- and 65 surgical training-hospitals. All participating hospitals provided the essential information, including sex, age, surgical method used, American Joint Committee on Cancer classification, and other information, including reproductive factors, etc. This study showed a continuous increase in: the incidence of breast cancer (154.3% increase from 3801 to 9667 patients); breast-conserving surgery (124.1% increase from 18.7 to 41.9%); breast reconstruction after operation (25.4% increase from 5.2 to 16.4%); the percentage of early cancer (128.6% increase for stage 0; a 64.8% increase for stage I); and the number of patients with reproductive factors, such as early menarche, late menopause, late first-delivery, and no breast feeding. These results suggest that the rate of breast cancer in Korea is expected to continuously increase in the future; and that the pattern of breast cancer is perhaps mirroring that observed in Western countries. © Springer 2006.","Breast cancer,Chronological change,Clinical characteristics,Incidence,Korean,Reproductive factors","English",2006404745,16862450,10.1007/s10549-006-9188-x
"Patterns of cancer incidence among US Hispanics/Latinos, 1995-2000","Carozza S.E., Howe H.L.","Cancer Causes and Control","2006","Article","0957-5243,1573-7225 (electronic)","Objective: Current and comprehensive data on cancer incidence in US Latinos has been limited. Methods: Using a standardized approach to uniformly assign Hispanic/Latino race/ethnicity to cancer records, data from 15 central cancer registries, representing more than 85% of the US Latino population, were included in the analysis. Average annual age-adjusted incidence rates and standard errors were calculated for Hispanic, non-Hispanic white and non-Hispanic black males and females. To compare cancer incidence among Hispanic and non-Hispanic populations, standardized incidence ratios (SIRs) also were calculated. Results: Latino populations had overall lower incidence for all cancers combined and the four leading cancers (breast, prostate, lung and colorectal) than non-Hispanic populations, however, cancers of lesser impact in non-Hispanic populations (liver, gallbladder, stomach, penis and cervix) were more commonly diagnosed among Latinos. Conclusions: Understanding the patterns of cancer incidence in this diverse racial/ethnic minority group can serve to both stimulate research into the unique behaviors, exposures and genetics that drive cancer risk among Latinos and to direct prevention and control efforts tailored to this population. © Springer Science+Business Media B.V. 2006.","Cancer incidence,Hispanic/Latino populations","English",2006412436,16933057,10.1007/s10552-006-0045-3
"Incidence of Neoplasms in Patients Who Develop Sustained Leukopenia During or After Treatment With 6-Mercaptopurine for Inflammatory Bowel Disease","Disanti W., Rajapakse R.O., Korelitz B.I., Panagopoulos G., Bratcher J.","Clinical Gastroenterology and Hepatology","2006","Article","1542-3565","Background & Aims: Studies to date have not confirmed an association between neoplasms and inflammatory bowel disease (IBD) treated with 6-mercaptopurine (6-MP). We have observed the occurrence of some neoplasms in IBD patients who developed sustained leukopenia as a result of treatment with 6-MP. As a result, we sought to compare the incidence of neoplasms in patients who developed sustained leukopenia after taking 6-MP compared with patients treated with 6-MP without sustained leukopenia. Methods: A database containing the medical records of more than 600 patients treated with 6-MP for IBD at 1 center between 1965 and 2002 was searched. The patients were divided into 2 groups. The study group consisted of patients who developed sustained leukopenia, defined as a white blood cell count of less than 4000 for 20 or more days. The control group patients matched those in the study group for age and sex. There were 3 matched controls for each patient in the study group. Results: Eighteen patients developed sustained leukopenia and, of these, 4 developed neoplasms (22%)-2 leukemias, 1 non-Hodgkin's lymphoma, and 1 breast cancer. Of the 54 patients in the control group, 4 developed neoplasms (7%) (P = .10). Post hoc analysis revealed a statistically significant difference in the number of hematologic malignancies in the group with sustained leukopenia (P = .014). There was no significant difference between the 2 groups for all confounding variables examined. Conclusions: There was a trend toward a greater number of total malignancies in the sustained leukopenic patients. The data suggest that it is those patients who develop sustained leukopenia while taking 6-MP/azathioprine who are most at risk. © 2006 American Gastroenterological Association.",,"English",2006356100,16765651,10.1016/j.cgh.2006.03.018
"Cancer incidence in the U.S. Air Force: 1989-2002","Yamane G.K.","Aviation Space and Environmental Medicine","2006","Article","0095-6562","Background: Cancer incidence in U.S. Air Force active duty (AFAD) personnel is unknown. Defining the epidemiology may support more effective prevention and clinical services. Methods: Standardized incidence ratios (SIRs) for invasive cancer in AFAD personnel during 1989-2002 were determined using U.S. national incidence rates as the reference. SIRs were adjusted for age and race. Cutaneous squamous and basal cell carcinomas (CAs) were excluded. Results: There were 2750 cases: 1986 in men and 764 in women. The all-cancers SIRs were for men, 0.50 (95% Cl: 0.48-0.53), and for women, 0.96 (95% Cl: 0.89-1.03). Among men, the 10 most frequent cancers (77.6% of total) were, in descending order: melanoma; testicular CA; prostate CA; non-Hodgkin lymphoma; follicular/papillary thyroid CA; Hodgkin's Disease; colorectal CA; brain neuroepithelial CA; and (tied) bladder CA and oral squamous cell CA. Among women, the 10 most frequent cancers (88.1% of total) were, in descending order: breast CA; cervical CA; follicular/papillary thyroid CA; melanoma; Hodgkin's Disease; colorectal CA; (tied) non-Hodgkin lymphoma and ovarian epithelial CA; vulvar CA; and (tied) brain neuroepithelial CA and oral squamous cell CA. Compared with the U.S. population, cancer type-specific SIRs were significantly increased for cervical CA, prostate CA, and vulvar CA (range, 1.44-3.54). SIRs were significantly decreased for bladder CA (men), brain neuroepithelial CA, colorectal CA (men), Hodgkin's Disease (men), non-Hodgkin lymphoma, oral squamous cell CA (men), and testicular CA (range, 0.31-0.68). The remaining SIRs were not significantly different from unity. Conclusions: The cancer experience of the AFAD population differs substantially from that of the U.S. population. Copyright © by Aerospace Medical Association.","Aerospace,Air Force,Cancer,Epidemiology,Incidence,Military","English",2006391846,16909871,
"Trends in breast cancer by race and ethnicity: Update 2006","Smigal C., Jemal A., Ward E., Cokkinides V., Smith R., Howe H.L., Thun M.","Ca-A Cancer Journal for Clinicians","2006","Article","0007-9235,1542-4863 (electronic)","In this article, the American Cancer Society (ACS) provides estimates of new breast cancer cases and deaths in 2006 and describes trends in incidence, mortality, and survival for female breast cancer in the United States. These estimates are based on incidence data from the National Cancer Institute (NCI) and the North American Association of Central Cancer Registries, which includes state data from NCI and the National Program of Cancer Registries of the Centers for Disease Control and Prevention and mortality data from the National Center for Health Statistics for the most recent years available (1975 to 2002). This article also shows trends in screening mammography. Approximately 212,920 new cases of invasive breast cancer, 61,980 in situ cases, and 40,970 deaths are expected to occur among US women in 2006. As previously reported, breast cancer incidence rates increased rapidly among women of all races from 1980 to 1987, a period when there was increasing uptake of mammography by a growing proportion of US women, and then continued to increase, but at a much slower rate, from 1987 to 2002. Trends in incidence vary by age, race, socioeconomic status, and stage. The continuing increase in incidence (all stages combined) is limited to White women age 50 and older; recent trends are stable for African American women age 50 and older and White women under age 50 years and are decreasing for African American women under age 50 years. Although incidence rates (all races combined) are substantially higher for women age 50 and older (375.0 per 100,000 females) compared with women younger than 50 years (42.5 per 100,000 females), approximately 23% of breast cancers are diagnosed in women younger than 50 years because those women represent 73% of the female population. For women age 35 and younger, age-specific incidence rates are slightly higher among African Americans compared with Whites but then cross over so that Whites have substantially higher incidence at all later ages. Among women of all races and ages, breast cancer mortality rates declined at an average rate of 2.3% per year between 1990 and 2002, a trend that reflects progress in both early detection and treatment. However, death rates in African American women remain 37% higher than in Whites, despite lower incidence rates. Although, in national surveys, approximately 70% of women age 40 years and older report having had a mammogram in the past 2 years, rates vary by race/ethnicity and are markedly lower among women with lower levels of education, without health insurance, and in recent immigrants. Furthermore, a recent study suggests that the true percentage of women having regular mammography is lower than reported in survey data. Encouraging patients age 40 years and older to have annual mammography and clinical breast exam is the single most important step that clinicians can take to reduce suffering and death from breast cancer. Clinicians should also ensure that patients at high risk of breast cancer are identified and offered appropriate referrals and treatment. Continued progress in the control of breast cancer will require sustained and increased efforts to provide high-quality screening, diagnosis, and treatment to all segments of the population. © American Cancer Society, Inc., 2006.",,"English",2006272106,16737949,
"Trends of breast cancer incidence and risk factor prevalence over 25 years","Maskarinec G., Zhang Y., Takata Y., Pagano I., Shumay D.M., Goodman M.T., Marchand L.L., Nomura A.M., Wilkens L.R., Kolonel L.N.","Breast Cancer Research and Treatment","2006","Article","0167-6806","Introduction. To examine the trends in the prevalence of breast cancer risk factors in relation to breast cancer incidence trends and to explore whether the changes in risk factors differed by ethnicity in Hawaii over a 25-year period. Methods. We pooled 17 population-based epidemiological studies conducted in Hawaii between 1975 and 2001. The study population of 82,295 women included subjects of Caucasian, Japanese, Native Hawaiian, Chinese, and Filipino ancestry. We computed age-adjusted prevalence estimates by ethnic group for 5-year time periods. Logistic regression was used to evaluate trends over time. Results. The prevalence of an early age at menarche, nulliparity, and parity of fewer than three children, but not that of a late age at first live birth, increased during the study period. Whereas current smoking decreased for all ethnicities over time, the age-adjusted prevalence of overweight, obesity, college education, and alcohol use increased. Trends differed by ethnicity. For Native Hawaiians, the prevalence of overweight, obesity, alcohol use and nulliparity rose over time. For Japanese, the prevalence of overweight, early age at menarche, and having fewer than three children increased. Caucasians showed an increasing prevalence of overweight, obesity, college education, and nulliparity. In Filipina women, we observed changes in reproductive behavior and increasing obesity. Conclusions. Despite a slowing trend for some breast cancer risk factors, the overall risk profile in this population may lead to further increases in breast cancer incidence. Different ethnic groups may benefit from specific prevention strategies. © Springer 2006.","Breast cancer,Ethnicity,Incidence rates,Risk factors,Trend","English",2006336385,16752080,10.1007/s10549-005-9129-0
"Population attributable risk of breast cancer in white women associated with immediately modifiable risk factors","Clarke C.A., Purdie D.M., Glaser S.L.","BMC Cancer","2006","Article","1471-2407,1471-2407 (electronic)","Estrogen/progestin replacement therapy (EPRT), alcohol consumption, physical activity, and breast-feeding duration differ from other factors associated with breast cancer in being immediately modifiable by the individual, thereby representing attractive targets for future breast cancer prevention efforts. To justify such efforts, it is vital to quantify the potential population-level impacts on breast cancer considering population variations in behavior prevalence, risk estimate, and baseline incidence. Methods: For each of these four factors, we calculated population attributable risk percents (PARs) using population-based survey (2001) and cancer registry data (1998-2002) for 41 subpopulations of white, non-Hispanic California women aged 40-79 years, and ranges of relative risk (RR) estimates from the literature. Results: Using a single RR estimate, subpopulation PARs ranged from 2.5% to 5.6% for hormone use, from 0.0% to 6.1 % for recent consumption of >= 2 alcoholic drinks daily, and 4.6% to 11.0% for physical inactivity. Using a range of RR estimates, PARs were 2-11% for EPRT use, 1-20% for alcohol consumption and 2-15% for physical inactivity. Subpopulation data were unavailable for breastfeeding, but PARs using published RR estimates ranged from 2% to 11% for lifetime breastfeeding >= 31 months. Thus, of 13,019 breast cancers diagnosed annually in California, as many as 1,432 attributable to EPRT use, 2,604 attributable to alcohol consumption, 1,953 attributable to physical inactivity, and 1,432 attributable to never breastfeeding might be avoidable. Conclusion: The relatively feasible lifestyle changes of discontinuing EPRT use, reducing alcohol consumption, increasing physical activity, and lengthening breastfeeding duration could lower population breast cancer incidence substantially. © 2006 Clarke et al: licensee BioMed Central Ltd.",,"English",2006451422,16803628,10.1186/1471-2407-6-170
